file,page_num,Clear,Trash,Noisy,Empty,Non-text,total_word_count,total_char_count,avg_word_count,avg_char_count,avg_garbage_density,avg_lang_score,avg_perplex,avg_symbol,avg_upper,avg_repeated,avg_ldl_fuses,avg_gibberish,avg_word_weird,avg_quality_score,main_lang
CTX195801019,2,7,6,11,0,0,95,620,3.9583,25.8333,0.0409,0.7523,2915.6617,0.125,0.0,0.0,0.0,0.0417,0.0278,0.7082,ces_Latn
CTX195801935,38,4,0,0,0,2,19,99,4.75,24.75,0.0197,0.8546,1422.8325,0.0,0.0,0.0,0.0,0.0,0.0,0.6897,ces_Latn
CTX195802783,49,47,0,4,0,1,316,2009,6.1961,39.3922,0.0223,0.9494,469.4784,0.0392,0.0,0.0,0.0,0.0196,0.0013,0.7344,ces_Latn
CTX195803691,1,7,0,0,0,1,49,326,7.0,46.5714,0.0153,0.9556,397.44,0.1429,0.0,0.0,0.0,0.0,0.0057,0.8419,ces_Latn
CTX195805581,8,25,3,7,0,4,114,729,3.2571,20.8286,0.0404,0.6812,41787.4,0.0286,0.0,0.0,0.0,0.0571,0.001,0.6799,deu_Latn
CTX195806017,10,27,0,1,0,1,322,1800,11.5,64.2857,0.0195,0.9951,552.6104,0.3929,0.0,0.0,0.0357,0.0,0.0106,0.7942,ces_Latn
CTX195901233,25,39,0,1,0,0,394,2396,9.85,59.9,0.0024,0.961,392.584,0.025,0.0,0.0,0.0,0.0,0.0008,0.8451,ces_Latn
CTX195901886B,34,19,0,9,0,4,244,1378,8.7143,49.2143,0.0104,0.6616,502.5507,0.0714,0.0,0.0,0.0,0.1429,0.0027,0.6725,ces_Latn
CTX195902663,194,39,0,1,0,1,363,2601,9.075,65.025,0.003,0.9891,334.3225,0.075,0.0,0.0,0.0,0.05,0.0025,0.8663,ces_Latn
CTX195903826,4,28,0,3,0,2,217,1504,7.0,48.5161,0.0056,0.927,617.8287,0.2581,0.0,0.0,0.0,0.0968,0.0111,0.7762,ces_Latn
CTX195905206,22,10,0,1,0,2,61,388,5.5455,35.2727,0.015,0.9417,766.3482,0.0,0.0,0.0,0.0,0.0,0.0,0.7702,ces_Latn
CTX195906334,132,52,2,6,0,57,128,556,2.1333,9.2667,0.0021,0.9689,18440.4367,0.0,0.0,0.0,0.0,0.0,0.0,0.7016,ces_Latn
CTX195906583AA,8,7,0,3,0,5,32,135,3.2,13.5,0.0671,0.8348,1396.048,0.1,0.0,0.0,0.0,0.0,0.02,0.5868,ces_Latn
CTX195906705,52,20,0,7,0,0,187,1300,6.9259,48.1481,0.017,0.936,514.5163,0.037,0.037,0.0,0.0,0.2963,0.0019,0.8015,ces_Latn
CTX196001290,266,31,4,0,0,18,110,669,3.1429,19.1143,0.0414,0.9167,32324.49,0.0,0.0,0.0,0.0,0.0,0.0,0.7346,ces_Latn
CTX196003904,2,21,0,2,0,0,275,1375,11.9565,59.7826,0.0284,0.98,498.1322,0.1739,0.0,0.0,0.0,0.0435,0.0056,0.7685,ces_Latn
CTX196005796,21,0,0,1,0,0,4,16,4.0,16.0,0.1875,0.8951,2510.09,1.0,0.0,0.0,0.0,0.0,0.1,0.4406,ces_Latn
CTX196006196,59,2,0,0,0,1,7,46,3.5,23.0,0.0,0.8686,709.755,0.0,0.0,0.0,0.0,0.0,0.0,0.7608,ces_Latn
CTX196101374,1,20,0,8,0,3,110,684,3.9286,24.4286,0.0464,0.8643,1552.9611,0.0714,0.0357,0.0,0.0,0.0714,0.0063,0.7659,ces_Latn
CTX196106148,37,2,0,1,0,0,12,63,4.0,21.0,0.0,0.7967,1530.68,0.0,0.0,0.0,0.0,0.0,0.0,0.6228,ces_Latn
CTX196106926A,21,47,10,7,0,70,102,520,1.5938,8.125,0.0558,0.8244,282953.8608,0.0312,0.0,0.0,0.0,0.0156,0.0,0.7157,ces_Latn
CTX196203350,63,23,1,11,0,4,182,975,5.2,27.8571,0.0671,0.9008,1188.6969,0.1143,0.0,0.0,0.0,0.1714,0.0064,0.6463,ces_Latn
CTX196206406A,92,1,0,1,0,3,4,36,2.0,18.0,0.0625,0.6428,1620.11,0.0,0.0,0.0,0.0,0.0,0.0,0.6344,min_Latn
CTX196301099,20,26,1,0,0,1,183,1260,6.7778,46.6667,0.0039,0.9994,584.1415,0.0,0.0,0.0,0.0,0.0,0.0,0.858,ces_Latn
CTX196303779,29,13,0,2,0,1,109,666,7.2667,44.4,0.0252,0.9123,675.808,0.2,0.0,0.0,0.0,0.0667,0.0121,0.7823,ces_Latn
CTX196306858A,34,2,0,0,0,1,10,109,5.0,54.5,0.0184,0.944,529.505,0.0,0.0,0.0,0.0,0.0,0.0,0.7258,ces_Latn
CTX196404991,5,26,0,3,0,1,293,1716,10.1034,59.1724,0.0112,0.9559,496.6997,0.1724,0.0345,0.0,0.0,0.0345,0.0123,0.7871,ces_Latn
CTX196407149,32,2,0,0,0,2,5,25,2.5,12.5,0.0666,0.8424,1235.91,0.0,0.0,0.0,0.0,0.0,0.0,0.6764,ces_Latn
CTX196500927,19,24,3,6,0,0,177,1125,5.3636,34.0909,0.0372,0.8488,1578.0658,0.1515,0.0303,0.0,0.0,0.0303,0.0194,0.7029,deu_Latn
