file,page_num,Clear,Empty,Noisy,Non-text,Trash,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,avg_rot_ratio,ch_ratio,main_lang
MTX202200314,529,1,6,1,20,0,8,58,0.74005,0.0,0.99775,5568.965,0.0,0.4692,0.49855,0.0,ces
MTX202200335,282,3,3,1,1,0,38,236,0.777575,0.0,0.9305,520.36,0.0,0.37629999999999997,0.476775,0.0,ces
MTX202200340,5,2,3,4,1,0,33,225,0.73915,0.013016666666666668,0.8906499999999999,1466.5083333333334,0.0,0.43396666666666667,0.64,0.0,ces
MTX202200374,13,7,3,1,0,0,68,539,0.8142375,0.00125,0.9304125,400.34375,0.0,0.422375,0.434825,0.0,ces
MTX202200406,11,16,1,9,1,0,220,1514,0.7867400000000001,0.012284000000000002,0.9735320000000001,273.4412,0.0,0.360424,0.518356,0.0,ces
MTX202200444,32,34,3,3,1,1,427,2918,0.8301351351351351,0.008237837837837839,0.9793216216216217,390.3689189189189,0.0,0.3869054054054054,0.5110513513513514,0.0,ces
MTX202200454,16,14,31,8,6,5,151,906,0.8094454545454546,0.0225,0.9481954545454545,1062.2,0.0,0.39928636363636366,0.43482727272727273,0.0,ces
MTX202200522,2,27,32,15,7,0,160,1012,0.7624738095238095,0.0037190476190476192,0.8991928571428571,1902.286904761905,0.0,0.3911428571428572,0.4983857142857143,0.07142857142857142,ces
MTX202200551,29,45,35,33,21,11,168,1183,0.763351282051282,0.0,0.9130730769230769,1679.4416666666666,0.0,0.38224102564102563,0.4574320512820512,0.0,ces
MTX202200563,514,16,1,31,3,0,560,3343,0.7153042553191489,0.019380851063829786,0.9933085106382978,1466.458085106383,0.0,0.39430212765957445,0.5605297872340426,0.0,ces
MTX202200564,307,34,63,29,121,0,152,1078,0.767295238095238,0.0,0.9279380952380952,3954.573015873016,0.0,0.414815873015873,0.4231650793650794,0.0,ces
MTX202200595,71,2,1,6,1,0,67,491,0.72225,0.031287499999999996,0.8682624999999999,651.05625,0.125,0.3413,0.4332625,0.0,ces
MTX202200658,12,42,4,7,0,1,421,3214,0.8531469387755103,0.00456530612244898,0.9661469387755102,1307.6879591836735,0.02040816326530612,0.41848163265306126,0.509830612244898,0.0,ces
MTX202200700,29,38,15,38,15,11,216,1388,0.7454828947368421,0.004777631578947368,0.9191934210526316,29899.925789473684,0.0,0.39211052631578946,0.503821052631579,0.0,ces
MTX202200717,601,66,111,21,144,35,122,1037,0.8055459770114942,0.0,0.8093620689655173,1516.7250574712646,0.0,0.33058850574712645,0.6199022988505747,0.3563218390804598,ces
MTX202200730,18,6,20,12,112,6,29,155,0.6930499999999999,0.002777777777777778,0.8294222222222223,9167.308333333332,0.0,0.5248222222222222,0.36948333333333333,0.2777777777777778,ces
MTX202200757,18,1,1,1,0,0,12,72,0.66925,0.0,0.85475,5336.715,0.0,0.36175,0.52845,0.0,ces
MTX202200772,548,1,1,1,1,0,9,58,0.736,0.00715,0.7856000000000001,711.12,0.0,0.38285,0.5901,0.0,ces
MTX202210001,70,0,1,3,2,0,18,71,0.5959666666666666,0.0,0.9991666666666666,863.2433333333333,0.0,0.2992333333333333,0.6591,0.0,ces
MTX202210008,56,0,6,2,8,8,7,18,0.4,0.07289999999999999,0.75,6797.905,0.0,0.3333,0.5,0.0,ces
MTX202210016,97,12,0,21,10,2,97,724,0.7220939393939394,0.11666666666666665,0.9404212121212121,372.99121212121213,0.12121212121212122,0.3968939393939394,0.4416181818181818,0.0,ces
MTX202210018,7,0,0,0,1,0,0,0,,,,,,,,,
MTX202210020c,12,1,1,0,1,1,2,9,0.8021,0.0,0.9249,1270.27,0.0,0.2857,0.4286,0.0,ces
MTX202210026b,3,23,0,14,0,0,288,1844,0.7806189189189189,0.0068189189189189195,0.9610648648648648,423.50243243243244,0.02702702702702703,0.36731621621621624,0.5245945945945946,0.0,ces
MTX202210031,41,0,0,1,0,0,1,4,0.6999,0.0,0.9285,39995.7,0.0,0.5,0.5,0.0,ces
MTX202210043,86,0,1,0,1,1,0,0,,,,,,,,,
MTX202210058,36,16,48,24,36,1,58,361,0.7306375,0.0025,0.92638,22792.381250000002,0.0,0.38786,0.45201,0.0,ces
MTX202210072,40,11,33,16,34,1,37,272,0.7403296296296297,0.004629629629629629,0.8631925925925926,2643.1692592592594,0.0,0.40557777777777776,0.4596296296296296,0.0,ces
MTX202210119,145,23,1,4,1,0,158,1027,0.8150925925925926,0.006233333333333334,0.9821629629629629,536.9074074074074,0.07407407407407407,0.4161111111111111,0.5169703703703704,0.0,ces
MTX202300012,361,4,58,31,242,16,42,291,0.7114114285714286,0.0,0.8168285714285713,39799.04142857143,0.0,0.4371085714285714,0.4014628571428571,0.0,ces
MTX202300024,8,1,1,0,2,0,14,88,0.8921,0.0179,1.0,317.88,0.0,0.3944,0.5352,0.0,ces
MTX202300055,40,0,1,1,1,0,3,19,0.6717,0.0,0.9987,2051.17,0.0,0.5,0.4286,0.0,ces
MTX202300083,45,13,24,10,1,5,87,547,0.7439608695652175,0.0,0.8628826086956521,1204.0,0.0,0.376495652173913,0.48372608695652175,0.0,ces
MTX202300106,38,2,2,1,0,0,26,167,0.7375333333333334,0.023066666666666666,0.9663666666666666,438.83,0.0,0.36086666666666667,0.4762333333333333,0.0,ces
MTX202300141,20,2,1,1,0,0,25,202,0.7853666666666667,0.09026666666666666,0.9833333333333334,479.54333333333335,0.3333333333333333,0.3873666666666667,0.5098333333333334,0.0,ces
MTX202300159,18,0,3,2,3,0,6,31,0.5499499999999999,0.0125,0.8073,3004.875,0.0,0.45835000000000004,0.45835000000000004,0.5,ces
MTX202300196,44,0,2,1,2,1,6,36,0.6999,0.0,0.8755,975.96,0.0,0.3636,0.5909,0.0,ces
MTX202300235,131,29,51,44,278,6,93,560,0.7308808219178082,0.0,0.8582520547945206,13520.043287671233,0.0,0.4262876712328767,0.4858506849315069,0.0,ces
MTX202300271,40,0,2,2,0,1,9,44,0.5519499999999999,0.025,0.8749,324185.37000000005,0.0,0.53335,0.63335,0.0,ces
MTX202300321,20,7,116,93,102,24,303,1548,0.671161,0.001,0.818213,88797.02539999998,0.0,0.425381,0.56208,0.0,ces
MTX202300343,275,3,2,0,0,0,22,137,0.7218666666666667,0.0,0.9439000000000001,754.98,0.0,0.3860333333333334,0.5627,0.0,ces
MTX202300376,24,33,26,42,13,14,201,1257,0.740936,0.0,0.9189893333333333,1815.5742666666667,0.0,0.3863413333333333,0.47678933333333334,0.0,ces
MTX202300406,3,1,0,6,15,13,16,75,0.6175714285714287,0.03928571428571429,0.8235857142857144,5288.357142857143,0.0,0.2681428571428571,0.6774571428571429,0.14285714285714285,ces
MTX202300430,99,10,12,8,10,0,69,525,0.7616833333333334,0.0,0.8414,1575.6644444444444,0.0,0.3801333333333333,0.4524111111111111,0.0,ces
MTX202300465,174,35,14,22,26,6,64,418,0.7834859649122806,0.0,0.9467561403508772,43641.71122807018,0.0,0.40783684210526316,0.40166666666666667,0.0,ces
MTX202300466A,369,37,106,84,172,0,477,2961,0.6278190082644628,0.01827272727272727,0.8329752066115702,670.1855371900826,0.01652892561983471,0.6265132231404958,0.23277355371900826,0.47107438016528924,ces
MTX202300466DE,388,1,9,1,20,0,7,48,0.71885,0.0,0.9233,6032.16,0.0,0.4545,0.61365,0.0,ces
MTX202300466FG,22,4,5,7,3,1,54,352,0.7276545454545453,0.02742727272727273,0.9352818181818182,1245.9109090909092,0.18181818181818182,0.4123090909090909,0.4775,0.0,ces
MTX202300466FG,1022,5,3,6,0,2,54,350,0.7172363636363636,0.017727272727272727,0.9220909090909092,1089.7063636363637,0.18181818181818182,0.4106272727272727,0.4973545454545455,0.0,ces
MTX202300527,1,26,6,16,1,1,288,2154,0.8004904761904761,0.00925952380952381,0.9414904761904762,1242.364761904762,0.047619047619047616,0.39641666666666664,0.5082952380952381,0.047619047619047616,ces
MTX202300538,63,2,2,1,0,0,15,100,0.7274666666666666,0.0,0.8960333333333333,439.8566666666666,0.0,0.3529333333333333,0.4542333333333333,0.3333333333333333,ces
MTX202300595,77,1,1,1,1,0,19,122,0.7104999999999999,0.02855,0.8856999999999999,334.875,1.0,0.3909,0.5841000000000001,0.0,ces
MTX202300623,14,5,1,27,1,1,331,1930,0.704425,0.05701875,0.907221875,721.9028125,0.0,0.387878125,0.53565,0.0,ces
MTX202300648,9,11,2,1,0,0,149,1060,0.8675666666666667,0.004325,0.9984000000000001,477.635,0.0,0.4148416666666666,0.48644166666666666,0.0,ces
MTX202300669,6,17,7,6,1,0,191,1585,0.8385391304347827,0.02014347826086957,0.9998391304347827,506.64695652173907,0.391304347826087,0.4321130434782609,0.4963434782608696,0.0,ces
MTX202300696,459,16,61,95,152,0,363,2481,0.6299666666666667,0.010286486486486486,0.8488783783783783,1115.2404504504505,0.0,0.6366234234234234,0.26404774774774775,0.4594594594594595,ces
MTX202300696A,10,7,5,37,43,0,65,467,0.7230590909090909,0.0,0.9586568181818182,8280.8125,0.0,0.4144090909090909,0.6188250000000001,0.0,ces
