file,page_num,Clear,Trash,Noisy,Empty,Non-text
CTX194201336,183,0,12,1,0,1
CTX194201336,184,0,1,0,0,0
CTX194201336,185,0,9,3,0,2
CTX194201336,186,0,12,1,0,2
CTX194201336,187,0,11,3,0,1
CTX194201336,188,0,10,3,0,3
CTX194201336,189,0,12,2,0,1
CTX194201336,190,0,11,2,0,1
CTX194201336,191,0,13,2,0,1
CTX194201336,192,0,13,1,0,1
CTX194201336,193,0,13,3,0,2
CTX194201336,194,0,13,2,0,1
CTX194201336,195,0,10,3,0,1
CTX194201336,196,0,12,3,0,2
CTX194201336,197,0,10,4,0,1
CTX194201336,198,0,11,3,0,1
CTX194201336,199,0,13,3,0,2
CTX194201336,200,0,12,2,0,2
CTX194201336,201,0,10,2,0,1
CTX194201336,202,0,11,5,0,4
CTX194201336,203,0,11,3,0,1
CTX194201336,204,0,11,3,0,1
CTX194201336,205,0,2,5,0,4
CTX194201336,206,0,11,2,0,1
CTX194201336,207,0,10,3,0,1
CTX194201336,208,0,12,1,0,1
CTX194201336,209,0,12,2,0,1
CTX194201336,210,0,10,3,0,1
CTX194201336,211,0,11,3,0,2
CTX194201336,212,0,12,2,0,1
CTX194201336,213,0,10,3,0,1
CTX194201336,214,0,10,3,0,1
CTX194201336,215,0,10,3,0,1
CTX194201336,216,0,12,2,0,1
CTX194201336,217,0,12,2,0,1
CTX194201336,218,0,11,4,0,1
CTX194201336,219,0,11,3,0,1
CTX194201336,220,0,15,6,0,2
CTX194201336,221,0,14,2,0,1
CTX194201336,222,0,11,4,0,1
CTX194201336,223,0,9,4,0,2
CTX194201336,224,0,13,2,0,2
CTX194201336,225,0,13,3,0,1
CTX194201336,226,0,12,2,0,2
CTX194201336,227,0,9,4,0,2
CTX194201336,228,0,10,4,0,1
CTX194201336,229,0,11,4,0,2
CTX194201336,230,0,11,4,0,2
CTX194201336,231,0,11,3,0,3
CTX194201336,232,0,11,2,0,1
CTX194201336,233,0,12,2,0,2
CTX194201336,234,0,11,2,0,1
CTX194201336,235,0,12,2,0,1
CTX194201336,236,0,12,2,0,1
CTX194201336,237,0,10,3,0,1
CTX194201336,238,0,13,1,0,1
CTX194201336,239,0,11,2,0,1
CTX194201336,240,0,10,4,0,1
CTX194201336,241,0,9,5,0,2
CTX194201336,242,0,10,4,0,3
CTX194201336,243,0,9,4,0,1
CTX194201336,244,0,14,3,0,4
CTX194201336,245,0,11,6,0,4
CTX194201336,246,0,11,4,0,1
CTX194201336,247,0,12,2,0,2
CTX194201336,248,0,11,4,0,2
CTX194201336,249,0,14,4,0,5
CTX194201336,250,0,11,3,0,2
CTX194201336,251,0,12,4,0,1
CTX194201336,252,0,11,3,0,1
CTX194201336,253,0,14,1,0,1
CTX194201336,254,0,16,20,0,0
CTX194201336,255,0,16,2,0,1
CTX194201336,256,0,2,5,0,5
CTX194201336,257,0,13,1,0,6
CTX194201336,258,0,17,2,0,2
CTX194201336,259,0,10,4,0,4
CTX194201336,260,0,16,3,0,2
CTX194201336,261,0,11,3,0,1
CTX194201336,262,0,11,2,0,2
CTX194201336,263,0,13,2,0,3
CTX194201336,264,0,12,1,0,2
CTX194201336,265,0,11,2,0,1
CTX194201336,266,0,11,7,0,1
CTX194201336,267,0,20,8,0,3
CTX194201336,268,0,9,8,0,1
CTX194201336,269,0,25,11,0,1
CTX194201336,270,0,12,3,0,1
CTX194201336,271,0,24,29,0,2
CTX194201336,272,0,25,29,0,1
CTX194201336,273,2,27,24,0,3
CTX194201336,274,0,22,30,0,2
CTX194201336,275,1,16,8,0,1
CTX194201336,276,0,25,27,0,5
CTX194201336,277,0,29,23,0,2
CTX194201336,278,0,13,2,0,3
CTX194201336,279,0,28,20,0,1
CTX194201336,280,1,13,18,0,2
CTX194201336,281,0,25,29,0,6
CTX194201336,282,0,17,9,0,1
CTX194201336,283,0,24,25,0,1
CTX194201336,284,0,21,26,0,2
CTX194201336,285,0,21,30,0,1
CTX194201336,286,0,14,9,0,1
CTX194201336,287,0,38,4,0,261
CTX194201336,288,0,48,2,0,108
CTX194201336,289,0,3,5,0,4
CTX194201336,290,0,25,15,0,8
CTX194201336,291,0,2,0,0,1
CTX194201336,294,0,2,0,0,5
CTX194201336,296,0,3,0,0,2
CTX194201336,297,0,3,1,0,1
CTX194201336,298,0,2,2,0,2
CTX194201336,299,0,6,0,0,1
CTX194201336,300,0,2,0,0,23
CTX194201336,303,0,4,0,0,2
CTX194201336,304,0,4,0,0,3
CTX194201336,305,0,4,1,0,0
CTX194201336,306,0,4,0,0,4
CTX194201336,307,0,4,0,0,4
CTX194201336,308,0,3,1,0,2
CTX194201336,309,0,3,0,0,1
CTX194201336,310,0,3,1,0,4
CTX194201336,311,0,4,0,0,1
CTX194201336,312,0,8,1,0,5
CTX194201336,313,0,4,0,0,1
CTX194201336,314,0,3,1,0,2
